Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C18, C19",0603,5,10uF/10V,C19702
C10,0603,1,12pF/50V,C38523
C12,CP_Elec_8x10.5,1,470uF/16V,C96179
"C14, C17, C20, C21, C22, C25, C3, C6, C60",0402,9,100nF/50V,C307331
"C15, C23, C5, C59",0805,4,1uF/50V,C28323
C16,1206,1,1nF/2kV,C161353
C2,CP_Elec_6.3x5.4,1,47uF/35V,C129415
C24,0402,1,470pF/50V,C1537
"C27, C29, C31, C33, C35, C37, C39, C41",0603,8,1nF/50V,C1588
"C28, C30, C32, C34, C36, C38, C40, C42",0603,8,33nF/50V,C21117
C4,0402,1,22pF/50V,C1555
"C61, C64",1206,2,4.7uF/50V,C29823
"C62, C63, C65, C66",0603,4,470nF/25V,C1623
"C7, C8",1206,2,22uF/10V,C5672
C9,0805,1,100nF/100V,C28233
"D1, D12, D15, D18, D21, D24, D27, D30, D56, D57, D58, D59, D60, D61, D62, D7, D9",0603,17,WHITE/0603,C2290
"D10, D13, D16, D19, D22, D25, D28, D31",D_SOD-123,8,9V1/500mW,C19077407
D2,D_SOD-123,1,SM4007PL,C64898
"D3, D5",D_SMA,2,SS34,C8678
D4,D_SMA,1,SS510,C65010
D6,SOT-23-5,1,ESDS314DBV,C1847859
F1,1206,1,33V/500mA,C70077
"FB1, FB2, FB3, FB4, FB5, FB6, FB7, FB8",0603,8,600R/100MHz,C85833
"J1, J3",TerminalBlock_Dibo_DB141V-2.54-8P_1x08_P2.54mm_Vertical,2,DB141V-2.54-8P,C2898750
J5,TerminalBlock_Dibo_DB142V-5.08-2P_1x02_P5.08mm_Vertical,1,VIN,C2898699
J6,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,C2765186
J7,RJ45_HanRun_HR911105A,1,ETHERNET,C12074
J8,TerminalBlock_Dibo_DB141V-2.54-4P_1x04_P2.54mm_Vertical,1,NTC,C2898746
L1,L_3x3mm_h1.5mm,1,"2,2uH 1,5A",C370424
L2,L_12x12mm_h6mm,1,"33uH 2,1A",C169386
L3,0805,1,2A 600R,C139168
Q1,SOT-23,1,WPM2015-3/TR,C558305
"Q10, Q11, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23-Narrow,8,MMBT2222A,C8512
Q2,SOT-23,1,MMUN2211LT3G,C150229
Q3,SOT-363_SC-70-6,1,UMH3N,C62892
R1,0603,1,560R/100mW,C23204
R10,0603,1,300k/100mW,C23024
R11,0603,1,"52,3k/100mW",C185323
"R12, R122, R123, R124, R125, R14, R19, R22, R26, R77, R8, R80, R83, R86, R89, R92, R95",0402,17,"10k/62,5mW",C25744
"R128, R129, R130, R131",0402,4,"680R/62,5mW",C25130
R13,0402,1,"22R/62,5mW",C25092
"R15, R16, R17, R18, R31, R34, R37, R40, R43, R46, R49, R52",0402,12,"2k2/62,5mW",C25879
"R2, R3",0402,2,"5,1k/62,5mW",C105872
"R20, R21",0402,2,"330R/62,5mW",C25104
R23,0402,1,"12,1k/62,5mW",C25852
"R24, R25, R27, R78, R81, R84, R87, R9, R90, R93, R96",0402,11,"1k/62,5mW",C11702
"R28, R29, R32, R35, R38, R41, R44, R47, R50, R79, R82, R85, R88, R91, R94, R97",0603,16,"6,8k/100mW",C23212
"R30, R33, R36, R39, R42, R45, R48, R51",0805,8,1k8/125mW,C17398
R4,0805,1,100k/125mW,C149504
R5,0805,1,"22,1k/125mW",C17552
R6,1206,1,30mR/333mW,C473665
R7,0603,1,"5,1R/100mW",C25197
"RN1, RN2",R_Array_Convex_4x0402,2,"4x2,2k/62,5mW",C728724
RN3,R_Array_Convex_4x0402,1,"4x49,9R/62,5mW",C136850
SW1,SW_SPST_Xunpu_TS1088AR02016,1,RESET,C720477
U1,SOT-23-5_Shorter_Pins,1,SY8089A1AAC,C479074
"U10, U11",SOP-16_4.4x10.4mm_P1.27mm,2,OR-3H7-4,C2838427
U2,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.81mm_ThermalVias,1,TX4138,C329267
U3,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,C84681
U4,ESP32-WROOM-32U,1,ESP32-WROOM-32UE-N16,C701346
U5,QFN-32-1EP_5x5mm_P0.5mm_EP3.3x3.3mm_ThermalVias,1,LAN8710A,C46185
"U6, U8",SSOP-28_5.3x10.2mm_P0.65mm,2,MCP23017_SS,C558584
U7,TSSOP-10_3x3mm_P0.5mm,1,ADS1115IDGS,C37593
